[0.4492340683937073]	первые упоминания о строении человеческого тела встречаются в древнем египте.	в древнем египте
[0.37302669882774353]	аналогично лимитрофам в 1990-е годы в русский язык пришёл термин балтия.	аналогично лимитрофам 
[0.2247360795736313]	слово "балтия" родилось в сми, выходящих на русском языке в латвии.	в латвии
[0.3810914158821106]	термин "балтия" в русский язык пришёл в 1990-е годы.	в 1990-е годы
[0.1911412626504898]	на конец 2011 года в иркутске насчитывалось 761 памятника деревянного зодчества.	761
[0.5474095344543457]	глубина реки сырдарьи составляет от 1.5 до 5 метров.	от 1.5 до 5 м
[0.3345690965652466]	в этот период (апрель-август)	с апреля по август
[0.309162437915802]	скорость течения реки сырдарьи составляет 0.8 м/с (из контекста).	0.8 м/с
[0.5161325335502625]	после распада пангеи лавруссия стала частью лавразии.	стала частью лавразии.
[0.1780373454093933]	ответ: ван гог написал "персиковое дерево в цвету" в 1888 году.	1888
[0.22722366452217102]	константин созвал никейский собор в 325 году.	325 года
[0.441236674785614]	"такой кадр иногда называется немым".	такой кадр.
[0.7444935441017151]	ответ: с 1895 года.	с 1895 года.
[0.2762550413608551]	декартом в 1637 году был предложен координатный метод.	в 1637 году
[0.7165787220001221]	если процентные ставки в банковской сфере увеличиваются, то цены на ранее выпущенные облигации будут снижаться.	цены на ранее выпущенные облигации будут снижаться
[0.12650269269943237]	на этот раз город грабили более жестоко. здесь же лжедмитрий ii принял посла от в. и. шуйского, стоявшего во главе русского государства.	к столице
[0.15175721049308777]	"один из документов тех лет гласит о бедствии: монастырские деревни они разорили, монастырские казенные деньги и лошадей и всякие монастырские запасы и хлеб забрали, и игумена исайю с братиею ограбили и огнем жгли."	лжедмитрий i
[0.48526257276535034]	международные игроки и местные агентства на российском рынке дистрибуции бизнес-тревел услуг представлены как "международные игроки" и "местные агентства".	дистрибуции бизнес-тревел услуг
[0.18703792989253998]	"клювовидные лобные доли у неандертальцев."	 клювовидные 
[0.4715375304222107]	от ближайшего вида — неандертальцев.	неандертальцев
[0.7003469467163086]	начали как советские «битлы».	как советские „битлы“
[0.2810317873954773]	"частичное банковское резервирование обычно функционирует достаточно ровно".	достаточно ровно
[0.5852915048599243]	главная аллея клуба была отдана под строевую подготовку квартировавшим в уимблдоне воинским частям.	под строевую подготовку квартировавшим в уимблдоне воинским частям
[0.2970455288887024]	тоскана остается по-прежнему главным очагом артистической деятельности.	тоскана
[0.6127586364746094]	ответ: в 1642 году.	в 1642 году
[0.5167761445045471]	основные причины смертности во французской колонии - это войны с ирокезами и болезни.	войны с ирокезами и болезни
[0.7055288553237915]	соединит северный и южный берега финского залива.	северный и южный берега финского залива
[0.5323933959007263]	ответ: западнее наличной улицы.	к западу от наличной ул.
[0.2586064636707306]	ответ: "ул. кораблестроителей"	ул. кораблестроителей и незавершённая морская набережная
[0.7927706837654114]	эксперимент уточняет или расширяет положения этой теории.	уточняет или расширяет положения этой теории
[0.3893033564090729]	"не описывать все детали происшествия, не содержать в себе ничего необычного, загадочного".	если произведение изначально описывает все детали происшествия
[0.3001554608345032]	особенность современных электросистем - это многоступенчато-разнопрофильное устройство и многорежимность.	являются многоступенчатыми
[0.3144947290420532]	остальная часть южной азии являлась частью древней лавразии.	лавразии
[0.9486353993415833]	с конца 1980-х годов.	с конца 1980-х годов
[0.8332811594009399]	"в 2000 году"	в 2000 году
[0.1899241805076599]	первое известное устройство, приводимое в движение паром, было описано героном александрийским в первом столетии.	в первом столетии
[0.1973680853843689]	1629 год (из контекста: "похожую машину предложил в 1629 году итальянский инженер джованни бранка для вращения цилиндрического анкерного устройства...")	в 1629 году
[0.4617435336112976]	активируется системный специфический иммунный ответ миграцией антигенпрезентирующих клеток в лимфоидные органы.	миграцией антигенпрезентирующих клеток в лимфоидные органы.
[0.45101481676101685]	специфический иммунный ответ включает в себя клеточные и гуморальные механизмы (из контекста).	он включает в себя клеточные и гуморальные механизмы.
[0.46924251317977905]	"антивгенпрезентирующие клетки"	миграцией антигенпрезентирующих клеток.
[0.1293150931596756]	жабры у десятиногих располагаются тремя продольными рядами.	тремя
[0.7060257792472839]	конструктивных философских оправданий современному искусству xxi века	конструктивных философских оправданий современному искусству
[0.8009932041168213]	"кромвель"	 кромвель 
[0.3926076889038086]	речной окунь обитает преимущественно в равнинных водоёмах: реках, озёрах, прудах и водохранилищах.	в равнинных водоёмах
[0.4049949645996094]	окунь встречается в высокогорных озёрах (на высоте 1000 м).	в высокогорных озёрах
[0.8244361281394958]	добровольная ликвидация и альтернативная ликвидация.	добровольная ликвидация и альтернативная
[0.19185248017311096]	альтернативная ликвидация представляет собой либо продажу компании, либо внесение реорганизации фирмы.	альтернативная
[0.5907788276672363]	фирма остается действующим юридическим лицом, но с иным собственником и руководителем.	фирма остается действующим юридическим лицом
[0.29945462942123413]	из контекста следует, что существует два вида ликвидации предприятия: 1. добровольная ликвидация, 2. альтернативная ликвидация, которая включает две формы:    - продажа компании,  - внесение реорганизации фирмы.	добровольная ликвидация и альтернативная
[0.4132835268974304]	процесс, завершающий деятельность предприятия, называется ликвидацией.	ликвидация
[0.6631904244422913]	фактически приводит к внесению записи о прекращении деятельности юридического лица.	внесению записи о прекращении деятельности юридического лица
[0.3023234009742737]	"люксембург привлекает иностранные банки своей стабильной политической системой и законодательством, широким спектром услуг, высокой квалификацией специалистов и конфиденциальностью информации."	стабильной политической системой и законодательством
[0.2264402210712433]	люксембург является офшорной зоной для большинства иностранных банков.	люксембург
[0.37624484300613403]	греки приписывали изобретение монет героям своих мифов.	героям своих мифов
[0.2712021470069885]	"большинство газов сложно или невозможно наблюдать непосредственно нашими органами чувств."	нашими органами чувств.
[0.35792696475982666]	"диагностика ошибки, произошедшей на компьютере пользователя".	диагностика ошибки
[0.5997427105903625]	началась в 50-е годы.	в 50-е годы
[0.24749311804771423]	лидерство в области реактивной пассажирской авиации перешло к советскому союзу с авиалайнером ту-104 и сша с boeing 707.	к советскому союзу с авиалайнером ту-104
[0.6094040274620056]	окраска чаще всего белая и зеленоватых оттенков.	белая и зеленоватых оттенков
[0.5427107810974121]	самки бабочек откладывают яйца на листья, стебли или ветки кормовых растений.	на листья, стебли или ветки кормовых растений
[0.25300002098083496]	"все неотрицательные вещественные числа, не исключая иррациональные, рассматриваются декартом как равноправные; они определяются как отношения длины некоторого отрезка к эталону длины."	как равноправные
[0.15724095702171326]	на особенностях их строения и экологии.	на микобионте.
[0.4662656784057617]	для обозначения лишайников используют биноминальную номенклатуру.	биноминальную номенклатуру.
[0.367316871881485]	пар с паровой машины после работы может выпускаться в атмосферу или поступать в конденсатор (из контекста).	может выпускаться в атмосферу или поступать в конденсатор
[0.4216088652610779]	газете ведомости.	 ведомости 
[0.41625112295150757]	при использовании предпринимателем собственных ресурсов цены должны быть выражены в одинаковых единицах для точного определения величины затрат (контекст).	для точного определения величины затрат
[0.3814450800418854]	технология и цены на производственные ресурсы обычно берутся как данные при определении функции издержек.	технология и цены на производственные ресурсы
[0.33779096603393555]	экспериментальные воздушные суда подлежат государственному учету и относятся к движимому имуществу, а также к этому виду имущества относятся гражданские суда, исключенные из государственного реестра гражданских воздушных судов российской федерации.	исключённые из государственного реестра
[0.32617640495300293]	германская электрическая торпеда называлась g7e.	g7e
[0.34052789211273193]	ответ: в районе большой анкары начаты работы по созданию 2,3 и 5 промышленных зон.	в районе большой анкары.
[0.1932401955127716]	магнитофоны 2, 3 и 4 классов для удешевления, как правило, имели универсальные головки и усилители.	2, 3 и 4 классов
[0.58204585313797]	несовершенства финансового рынка не позволяют говорить о равенстве стоимости внутренних и внешних источников финансирования.	о равенстве стоимости внутренних и внешних источников финансирования
[0.9248859286308289]	при переходе к понижающей фазе деловой активности.	при переходе к понижающей фазе деловой активности
[0.3115702271461487]	агентские издержки финансовых посредников меняются эндогенно в течение делового цикла, обычно увеличиваясь при переходе к понижающей фазе деловой активности.	эндогенно в течение делового цикла
[0.6311861276626587]	ответ: в 1906 году.	в 1906 году
[0.31681594252586365]	важным понятием является структурное пространство — расстояние не физическое, а основанное на родоплеменном отношении.	структурное пространство.
[0.975421667098999]	политическая система.	политическая система.
[0.4206986427307129]	"перевод - англ. translation"	translation
[0.2758844494819641]	ответ: в 2009 году был построен новый благовещенский кафедральный собор.	в 2009
[0.34800660610198975]	"процесс множественного целенаправленного приобретения каких-либо достаточно однородных товаров, предметов, материалов или активов."	товаров, предметов, материалов или активов
[0.3745535910129547]	ответ: скупка.	скупкой
[0.48520493507385254]	ответ: слово "скупка" образовано от глагола несовершенной формы "скупать", согласно контексту.	от глагола несовершенной формы скупать 
[0.5701102614402771]	начиная же с коперника главным методом научного исследования стало наблюдение за природой и проведение экспериментов.	наблюдение за природой и проведение экспериментов
[0.4482238292694092]	"благодаря миоцитам".	при помощи миоцитов
[0.25596165657043457]	по контрасту, племенная мораль инструктивна, поскольку накладывает коллективные нормы на отдельного человека.	инструктивна
[0.18766704201698303]	ответ: в 1900 году.	1900
[0.6446834206581116]	"вальтеллина"	вальтеллина
[0.45145899057388306]	прозвище "козёл" весьма обидно, его связывают с такими свойствами характера, как бесчестие, низость и подлость.	бесчестие, низость и подлость
[0.33147549629211426]	направить решения маслихатов этих районов и постановления районных акиматов в областной маслихат и областной акимат для внесения предложений в правительство республики казахстан.	в областной маслихат и областной акимат
[0.5208026766777039]	"предполагается, что процесс согласования и утверждения новых границ будет осуществлен до 1 июля 2013 года."	до 1 июля 2013 года
[0.2523486912250519]	"комплексные числа из веществальных могут быть получены единой процедурой удвоения размерности, также известной как процедура кэли-диксона."	процедурой удвоения размерности
[0.5090257525444031]	процедура удвоения размерности также известна как процедура кэли-диксона.	процедура кэли — диксона
[0.4282122254371643]	"впервые понятие нация в его политическом значении появилось именно в ходе великой французской революции."	в ходе великой французской революции
[0.3635977804660797]	масса окуня в промысловых уловах составляет 200-300 г.	200—300 г
[0.28919506072998047]	хлеб из о ржи и ячменя был пищей крестьян в средневековой европе.	изо ржи и ячменя
[0.8779932856559753]	ячмень.	ячмень
[0.9875895380973816]	ограничения на участие в управлении.	ограничения на участие в управлении.
[0.37395358085632324]	дивиденды по привилегированным акциям могут выплачиваться как из прибыли, так и из других источников — в соответствии с уставом общества.	в соответствии с уставом общества
[0.15183955430984497]	термин оппортунизм не получил самостоятельного значения в марксистской традиции.	самостоятельное, отличное от общепринятого
[0.6210295557975769]	"частое применение термина оппортунизм во внутримарксистской полемике привело к возникновению мнения о том, что термин оппортунизм является марксистским политическим клише."	что термин оппортунизм является марксистским политическим клише
[0.5595290660858154]	эммануил ласкер.	с эмануилом ласкером
[0.8067910671234131]	в период расцвета европейских империй.	период расцвета европейских империй.
[0.7333678007125854]	"в общей сложности было сделано три попытки разной степени успешности."	три попытки разной степени успешности
[0.2984544634819031]	"полученные в результате этих поисков разновидности труб имели сугубо временное значение в истории оркестрового исполнительства".	имели сугубо временное значение
[0.4037169814109802]	"по мере того, как музыкантами осознавалась принципиальная ограниченность натуральной трубы"	принципиальная ограниченность натуральной трубы
[0.21354319155216217]	леонардо представляет собой пример исторической личности, превращённой массовым сознанием в образ мага от науки.	леонардо
[0.3530433475971222]	"большинство захоронений содержит останки детей, погибших в возрасте от пяти месяцев внутриутробной жизни или умерших на первом году жизни."	останки детей
[0.9078684449195862]	лактанций.	лактанций
[0.40553200244903564]	на начало 2014 года объем просроченной ссудной задолженности банка составил 11,43 млн. рублей (цитата из текста).	11,43 млн. рублей
[0.2648774981498718]	93,57 (банковские резервы на возможные потери по ссудам покрывают текущую просроченную ссудную задолженность с коэффициентом 93,57).	93,57
[0.41851383447647095]	фамилия байронов перешла к незаконному сыну одного из них.	к незаконному сыну одного из них
[0.18850252032279968]	ответ: вопрос "для кого?" имеет непосредственное отношение к эффективности в распределении.	к эффективности
[0.2927052974700928]	касание земли коленом (из контекста: "и не оставил на песке отпечатка собственной спины")	касание земли коленом
[0.5650885105133057]	"без зависимого оседлого населения и обмена с ним, продуктами земледелия, скотоводства и ремесла."	без зависимого оседлого населения и обмена с ним
[0.2337850034236908]	термодинамика находит свое применение "в такой области, как экономика".	экономика
[0.3839626908302307]	ответ: в. н. топоров.	топоров
[0.3774780035018921]	режиссёр рязанов подписал опубликованное киносунионом открытое письмо с осуждением российской военной интервенции в украину и антиукраинской кампании в 2014 году.	с осуждением российской военной интервенции в украину 
[0.49244534969329834]	ответ: в 2014 году.	в 2014
[0.4214514493942261]	на протяжении многих лет чарльз гудхарт поощрял различные подходы к анализу денежной массы.	различные подходы к анализу денежной массы
[0.09056030213832855]	"полагая, что они попадают на территорию испании по тордесильясскому договору"	для колонизации молуккских островов
[0.46539920568466187]	"бегство вкладчиков приведет к кризису ликвидности в банке, и в конечном счёте, возможно, приведет к кризису неплатежеспособности."	к кризису неплатежеспособности
[0.40849196910858154]	"под воздействием научно-технической революции (нтр)"	научно-технической революции
[0.3526904582977295]	старания кубертена по возрождению олимпийских игр увенчались успехом 23 июня 1894 года.	23 июня 1894
[0.35659581422805786]	деметриус викелас был избран президентом олимпийского комитета.	деметриус викелас
[0.23651432991027832]	руководство определяет общую ценовую политику.	его руководство.
[0.9222854375839233]	"без сдвига равновесия."	без сдвига равновесия
[0.24372422695159912]	на личинки бабочек (гусеницы).	бабочек
[0.4931151866912842]	"личинки живут свободно на листьях"	свободно на листьях
[0.1611187905073166]	превращение перепончатокрылых полное.	полное
[0.7947688102722168]	артиллерия.	артиллерия
[0.46480584144592285]	"иван грозный выбрал в качестве опорной базы перед походом на казань."	в качестве опорной базы перед походом на казань
[0.43242573738098145]	актуальные вопросы химии середины xix века.	середины xix века
[0.8346726894378662]	"актуальные вопросы химии середины xix века"	актуальным вопросам химии середины xix века
[0.9078218936920166]	"непрерывное вращательное движение вала"	непрерывное вращательное движение вала
[0.9450335502624512]	с вакуумным двигателем уатта.	с вакуумным двигателем уатта
[0.8744049668312073]	непереводимыми	 непереводимыми 
[0.22184260189533234]	ответ: была транскрибируется на английском как wasabi.	wasabi
[0.6175121665000916]	условность заключается в том, что лишь немногие виды млекопитающих питаются исключительно растениями или исключительно животными; у большинства в рационе присутствуют и растительные, и животные корма.	у большинства в рационе присутствуют и растительные, и животные корма
[0.37351030111312866]	ответ: "всеобщее" или "убиквитин-зависимая деградация белка".	система получила название убиквитин-зависимой деградации белка
[0.34705501794815063]	митоз протекает быстрее в клетках животных.	в клетках животных
[0.45884519815444946]	гены эукариотов локализованы в хромосомах ядра и днк органелл (из контекста).	в хромосомах ядра и днк органелл
[0.5955615639686584]	"характерные черты вида" (из контекста)	характерные черты вида
[0.22607409954071045]	все орбиты в модели коперника круговые.	круговые
[0.2833792567253113]	философ альбер камю получил степень бакалавра в 1935 году.	в 1935 году
[0.2527979910373688]	цитата: "в то время, как цк плср обязал своих делегатов голосовать против мира."	голосовать против мира
[0.27603375911712646]	"в 1901 году все десять кортов были обнесены полотняными оградами высотой около метра."	в 1901 году
[0.11296776682138443]	"время не есть эмпирическое понятие, выводимое из какого-нибудь опыта; время есть чистая форма чувственного созерцания."	как априорная
[0.3315221071243286]	лейбниц делает утверждение, что пространство и время субъективны — это способы восприятия, свойственные монадам.	что пространство и время субъективны
[0.21551866829395294]	лейбниц повлиял на иммануила канта тем, что он сделал пространство и время субъективными - способами восприятия, свойственными монадам.	пространство и время субъективны
[0.4531516432762146]	на тромбоне существуют семь позиций.	семь позиций
[0.39584487676620483]	по сути, стамбульский тюнель является подземным фуникулёром.	подземным фуникулёром
[0.3641125559806824]	по мнению бодрийяра, разум "окончательно потерял контроль над иррациональными силами".	контроль над иррациональными силами
[0.5781291723251343]	на бесконечном самокопировании. (согласно бодрийяру)	на бесконечном самокопировании
[0.40717172622680664]	фобос и деймос были открыты американским астрономом асафом холлом в 1877 году.	американским астрономом асафом холлом.
[0.2781667113304138]	вышка приподнимает провода в тех местах, где мог быть контакт.	приподнимает провода
[0.13479752838611603]	все методы имеют разные внутренние источники ошибок.	все
[0.2949729561805725]	конвергенция развития признаков (гомоплазия) чаще появляется при анализе морфологических данных.	морфологических данных
[0.16637805104255676]	никакой из методов не является более доказательным, чем другие.	никакой
[0.19811689853668213]	российская история развития конкурентной разведки ближе к американской модели, чем к европейской.	к американской модели
[0.493965208530426]	портрет российского специалиста конкурентной разведки меняется и сегодня он всё больше приближается к европейскому.	сегодня он всё больше приближается к европейскому
[0.3199339509010315]	приверженцы литотерапии утверждают, что каждый кристаллический объект обладает свойствами излучения и поглощения неведомых энергий и полей.	приверженцы литотерапии
[0.09009537100791931]	для рыбы (лат. pisces) характерно жаберное дыхание на всех этапах постэмбрионального развития организма.	челюстноротых
[0.22874821722507477]	железные дороги могут быть с электрической, дизельной, турбинной, паровой или комбинированной тягой.	железные
